SO43665|20101229|220
SO43665|20101229|346
SO43665|20101229|212
SO43665|20101229|232
SO43665|20101229|350
SO43665|20101229|223
SO43665|20101229|348
SO43665|20101229|351
SO43665|20101229|218
SO43665|20101229|349
SO43667|20101229|219
SO43667|20101229|346
SO43667|20101229|351
SO43667|20101229|348
SO43669|20101229|304
SO43672|20101229|218
SO43672|20101229|349
SO43672|20101229|347
SO43674|20101229|319
SO43675|20101229|324
SO43675|20101229|220
SO43675|20101229|285
SO43675|20101229|215
SO43675|20101229|326
SO43675|20101229|319
SO43675|20101229|223
SO43675|20101229|315
SO43675|20101229|232
SO43676|20101229|349
SO43676|20101229|351
SO43676|20101229|219
SO43676|20101229|348
SO43676|20101229|218
SO43677|20101229|232
SO43677|20101229|314
SO43677|20101229|319
SO43677|20101229|342
SO43677|20101229|215
SO43677|20101229|322
SO43677|20101229|332
SO43677|20101229|328
SO43677|20101229|223
SO43677|20101229|212
SO43677|20101229|315
SO43677|20101229|270
SO43678|20101229|322
SO43678|20101229|285
SO43678|20101229|332
SO43678|20101229|275
SO43678|20101229|326
SO43678|20101229|324
SO43678|20101229|223
SO43678|20101229|215
SO43678|20101229|270
SO43678|20101229|317
SO43678|20101229|262
SO43678|20101229|235
SO43678|20101229|342
SO43678|20101229|319
SO43678|20101229|232
SO43678|20101229|315
SO43678|20101229|316
SO43678|20101229|220
SO43678|20101229|212
SO43679|20101229|322
SO43679|20101229|342
SO43679|20101229|232
SO43681|20101229|232
SO43681|20101229|326
SO43681|20101229|275
SO43681|20101229|212
SO43681|20101229|270
SO43681|20101229|215
SO43681|20101229|342
SO43681|20101229|272
SO43681|20101229|319
SO43681|20101229|338
SO43681|20101229|324
SO43681|20101229|285
SO43681|20101229|314
SO43681|20101229|229
SO43681|20101229|330
SO43681|20101229|322
SO43681|20101229|317
SO43681|20101229|235
SO43681|20101229|220
SO43681|20101229|262
SO43681|20101229|223
SO43682|20101229|319
SO43682|20101229|326
SO43682|20101229|322
SO43682|20101229|342
SO43682|20101229|232
SO43686|20101229|319
SO43686|20101229|326
SO43686|20101229|342
SO43688|20101229|262
SO43688|20101229|322
SO43688|20101229|326
SO43688|20101229|285
SO43688|20101229|328
SO43688|20101229|270
SO43688|20101229|315
SO43688|20101229|319
SO43688|20101229|332
SO43688|20101229|342
SO43688|20101229|314
SO43694|20101229|349
SO43694|20101229|344
SO43694|20101229|232
SO43694|20101229|345
SO43694|20101229|235
SO43694|20101229|212
SO43694|20101229|215
SO43694|20101229|347
SO43694|20101229|346
SO43694|20101229|223
SO43694|20101229|220
SO43695|20101229|347
